Name,L*,a*,b*,C*,h°,ΔE*ab,400 nm,410 nm,420 nm,430 nm,440 nm,450 nm,460 nm,470 nm,480 nm,490 nm,500 nm,510 nm,520 nm,530 nm,540 nm,550 nm,560 nm,570 nm,580 nm,590 nm,600 nm,610 nm,620 nm,630 nm,640 nm,650 nm,660 nm,670 nm,680 nm,690 nm,700 nm,Weight,Unnamed: 39,Unnamed: 40,Unnamed: 41,mixing weight
In-GC-021-T-SF-2#0423-A4-5T-1,50.05,-9.65,17.64,20.11,118.68,16.94,9.58,8.71,8.57,9.61,11.39,11.86,10.59,10.36,11.85,14.31,16.99,19.37,20.71,21.06,21.04,20.68,20.1,19.57,19.22,18.93,18.31,17.31,15.85,14.47,13.45,12.76,11.88,10.73,9.2,8.05,7.25,10.5,,,,10.5
In-RO-021-T-SF-1#0416-A2-4T-1,39.69,10.24,5.49,11.62,28.21,8.01,17.2,13.33,11.51,10.43,10.02,8.98,7.86,7.96,8.48,8.38,7.88,7.65,8.28,9.57,11.15,11.88,11.79,11.29,11.1,11.36,12.29,14.06,16.28,18.2,19.36,19.91,20.11,20.14,19.7,19.14,18.41,10.0,,,,10.0
In-RO-021-T-SF-1#0420-A2-4T-1,42.71,11.51,4.88,12.5,22.97,9.62,17.6,12.95,11.05,10.7,10.91,11.08,11.14,11.24,11.32,11.44,11.58,11.64,11.56,11.26,10.77,10.64,10.91,11.65,13.06,14.78,16.76,18.66,20.27,21.55,22.53,23.35,23.82,24.13,24.14,23.78,23.5,9.8,,,,9.8
In-GC-021-T-SF-2#20210818-A3-4T2c-1,57.86,-36.65,2.36,36.73,176.31,18.18,12.89,15.9,16.23,15.94,17.31,21.19,27.61,33.63,37.23,38.68,38.82,38.16,37.03,35.22,32.86,29.69,25.82,21.34,16.72,12.99,10.27,9.23,9.33,9.98,10.82,11.36,11.68,11.76,11.47,10.87,10.32,9.0,,,,9.0
In-RO-021-T-SF-1#0414-A1-3T-1,34.28,14.86,1.71,14.96,6.55,3.45,26.47,20.76,13.15,7.72,6.94,6.81,6.35,6.2,6.18,6.21,6.23,6.41,6.58,6.52,6.74,7.05,7.47,8.0,8.45,8.79,9.48,10.69,12.67,15.37,18.2,21.15,23.34,25.08,26.24,26.89,27.41,7.5,,,,7.5
In-GC-021-T-SF-2#0511-A2-3T-1,46.82,-12.32,18.5,22.23,123.66,14.85,6.32,6.72,6.44,7.09,7.9,8.54,9.11,10.2,11.61,13.53,15.42,16.97,18.01,18.31,18.35,18.07,17.57,16.95,16.24,15.42,14.62,13.84,12.86,12.01,11.04,10.1,9.35,8.6,8.04,7.75,7.61,5.0,,,,5.0
In-RO-021-T-SF-1#0809-A2-1T-1,41.07,23.96,13.17,27.34,28.81,13.28,29.06,16.59,9.82,8.06,7.36,6.92,6.75,6.81,7.07,7.16,7.12,7.23,7.64,8.46,9.56,10.32,10.29,9.87,10.41,12.74,16.95,22.23,27.55,31.78,34.81,36.89,38.19,39.15,39.55,39.52,39.66,2.8,,,,2.8
In-RO-021-T-SF-1#0809-A1-1T-1,36.97,13.52,0.05,13.52,0.22,6.15,33.16,28.61,20.54,10.63,7.84,7.58,7.22,7.08,7.28,7.34,7.57,7.84,8.01,7.81,7.84,8.3,9.18,10.27,10.92,10.93,10.71,10.54,11.73,14.56,18.62,22.99,26.7,29.66,31.45,32.69,33.7,2.4,,,,2.4
In-GC-021-T-SF-2#0607-A1-1T-1,62.14,-7.06,32.83,33.58,102.13,28.45,12.91,11.59,8.36,9.43,13.15,15.73,15.38,11.87,9.82,12.67,19.97,27.08,31.76,34.32,35.82,36.41,36.45,35.85,34.88,34.2,33.33,31.96,30.03,27.61,24.56,21.11,17.12,13.31,9.91,7.8,7.12,2.2,,,,2.2
In-RO-021-T-SF-1#0406-A1-1T-1,49.63,17.53,31.78,36.3,61.12,30.98,7.36,6.96,6.28,6.25,6.33,6.52,6.47,6.8,7.63,8.62,9.0,8.42,8.04,9.56,13.28,18.06,22.3,25.12,26.82,27.82,28.47,28.79,28.93,28.95,28.59,28.14,27.22,26.54,25.74,24.71,23.58,2.0,,,,2.0
In-GC-021-T-SF-1#20211014-A1-1T-1,54.77,-31.17,-3.77,31.39,186.89,20.18,13.0,12.25,10.77,14.72,21.24,26.5,30.09,31.83,32.85,33.26,33.28,32.8,31.85,30.36,28.46,25.84,22.62,18.98,15.15,11.78,9.31,8.08,7.88,8.54,9.25,9.78,10.06,10.11,10.05,9.59,9.16,1.8,,,,1.8
In-GC-021-T-SF-2#0615-A2-1T-1,35.44,-8.31,-0.77,8.35,185.3,28.45,7.46,8.29,7.79,7.81,8.17,8.65,9.45,10.01,10.34,10.46,10.51,10.46,10.19,9.92,9.53,9.03,8.53,7.97,7.49,7.09,6.84,6.71,6.7,6.78,6.82,6.89,6.87,6.85,6.83,6.63,6.55,1.7,,,,1.7
In-GC-021-T-SF-2#0406-A1-1T-1,57.01,-32.83,11.57,34.82,160.58,10.06,9.35,13.77,13.73,9.99,9.44,14.36,22.72,28.55,31.41,32.74,33.22,33.11,32.26,31.05,30.1,28.93,27.31,25.07,22.16,18.55,14.7,10.92,8.15,6.96,7.11,7.68,8.37,8.89,9.2,9.53,9.36,1.5,,,,1.5
In-GC-021-T-SF-2#0615-A1-1T-1,45.34,-24.68,-0.93,24.7,182.16,17.54,10.34,11.85,11.05,10.59,11.48,13.94,17.22,19.66,21.11,21.69,21.73,21.31,20.6,19.45,18.03,16.16,14.08,11.96,9.95,8.36,7.34,6.89,7.04,7.23,7.49,7.86,7.9,7.9,7.65,7.42,7.33,0.5,,,,0.5
In-GC-021-T-SF-2#20210809-A1-1T-1,58.05,-29.34,20.42,35.75,145.16,9.8,9.81,11.06,14.3,16.2,14.74,12.02,11.1,15.83,22.43,27.4,30.38,32.14,33.04,33.21,32.87,31.92,30.31,28.19,25.23,21.66,17.72,13.82,10.55,8.36,7.33,7.34,7.83,8.6,9.2,9.63,9.71,0.5,,,,0.5
