Name,L*,a*,b*,C*,h°,ΔE*ab,400 nm,410 nm,420 nm,430 nm,440 nm,450 nm,460 nm,470 nm,480 nm,490 nm,500 nm,510 nm,520 nm,530 nm,540 nm,550 nm,560 nm,570 nm,580 nm,590 nm,600 nm,610 nm,620 nm,630 nm,640 nm,650 nm,660 nm,670 nm,680 nm,690 nm,700 nm,Weight,Unnamed: 39,Unnamed: 40,Unnamed: 41,mixing weight
In-GC-021-T-SF-2#0511-A3-24T-1,56.7,-23.1,24.15,33.42,133.73,11.45,8.53,8.0,9.73,11.7,11.98,10.59,10.15,14.01,19.71,24.32,27.1,28.62,29.47,29.62,29.52,29.01,28.09,26.81,25.18,23.18,20.52,17.68,14.58,11.63,9.32,7.87,7.46,7.72,8.35,8.92,9.4,63.8,,,,63.8
In-GC-021-T-SF-2#0518-A1-20T8c-1,60.54,-18.01,26.57,32.1,124.13,17.44,10.5,9.73,10.15,12.45,13.98,13.9,13.04,14.44,18.93,24.35,28.58,31.34,32.84,33.4,33.56,33.19,32.59,31.77,30.58,29.07,26.99,24.47,21.34,17.94,14.53,11.58,9.48,8.46,8.35,8.79,9.75,61.4,,,,61.4
In-RO-021-T-SF-1#0416-A3-19T-1,43.03,20.93,17.57,27.32,40.01,16.13,14.98,10.18,8.23,7.26,7.09,7.24,7.21,7.15,7.31,7.55,7.99,8.41,8.83,9.02,9.24,9.79,11.04,13.33,16.26,19.3,22.09,24.21,25.7,26.92,27.74,28.33,28.49,28.55,28.06,27.57,27.2,61.3,,,,61.3
In-GC-021-T-SF-2#0408-A2-20T-1,50.56,-28.7,1.82,28.76,176.37,13.69,9.72,11.35,10.22,10.0,13.21,17.51,21.81,24.45,25.77,26.34,26.31,26.08,25.58,24.66,23.44,21.77,19.58,16.92,14.0,11.15,8.81,7.47,7.17,7.54,8.13,8.81,9.1,9.28,9.07,8.91,8.69,60.0,,,,60.0
In-GC-021-T-SF-2#0611-A1-20T-1,53.45,-15.65,19.47,24.98,128.8,11.84,11.35,9.86,9.27,11.97,13.64,13.12,11.45,10.81,12.75,16.85,20.58,23.35,24.9,25.49,25.66,25.37,24.71,23.95,22.76,21.31,19.33,17.06,14.78,12.41,10.25,8.55,7.65,7.23,7.42,7.73,7.91,60.0,,,,60.0
In-RO-021-T-SF-1#0409-A1-16T-1,36.16,13.75,3.64,14.22,14.81,3.29,20.18,14.61,9.28,8.24,8.35,7.84,7.36,7.05,6.8,6.79,7.03,7.17,7.34,7.65,8.0,8.19,8.28,8.4,8.73,9.46,11.02,13.22,15.45,17.43,18.86,19.92,20.84,22.0,22.53,22.79,22.83,60.0,,,,60.0
In-GC-021-T-SF-2#0610-A1-20T-1,57.26,-10.72,23.7,26.01,114.35,18.97,13.17,11.64,9.26,10.41,13.42,15.16,15.06,13.06,11.9,13.79,18.24,23.02,26.7,28.83,30.1,30.52,30.42,29.84,28.82,27.31,25.47,22.96,20.13,17.01,13.93,11.19,9.01,7.75,7.22,7.22,7.68,59.7,,,,59.7
In-GC-021-T-SF-2#0610-A2-20T-1,54.9,-10.93,20.99,23.67,117.51,17.0,12.59,10.74,9.28,11.14,14.04,14.47,13.08,11.33,11.34,14.36,19.01,22.96,25.46,26.53,26.81,26.65,26.17,25.65,25.03,24.08,22.8,20.99,18.81,16.28,13.59,11.04,8.93,7.85,7.25,7.35,7.69,58.5,,,,58.5
In-RO-021-T-SF-1#0419-A1-18T-1,42.03,15.44,16.46,22.57,46.84,13.93,12.59,9.21,7.8,6.96,6.89,7.13,7.09,7.15,7.37,7.79,8.05,8.53,9.08,9.51,10.0,10.66,11.6,13.01,14.89,17.01,18.92,20.56,21.75,22.55,23.07,23.3,23.32,23.18,22.69,21.92,21.44,57.6,,,,57.6
In-RO-021-T-SF-1#0510-A1-14T-1,33.66,11.63,-3.5,12.14,343.24,9.56,25.91,23.33,17.24,10.0,7.92,7.63,7.06,6.74,6.67,6.62,6.64,6.74,6.82,6.81,6.81,7.01,7.45,8.11,8.45,8.44,8.19,8.28,9.18,11.29,14.54,18.07,21.0,23.4,24.74,25.33,25.96,56.2,,,,56.2
In-GC-021-T-SF-2#0409-A1-20T-1,47.33,-25.02,3.09,25.21,172.96,12.63,8.75,10.3,9.52,8.96,10.73,14.3,17.76,20.02,21.15,21.67,21.85,21.7,21.39,20.72,19.91,18.67,17.15,15.12,12.82,10.41,8.52,7.29,6.86,7.0,7.51,8.0,8.33,8.5,8.55,8.54,8.16,56.0,,,,56.0
In-GC-021-T-SF-2#0419-A2-22T-1,55.18,-16.8,20.04,26.14,129.97,11.82,9.11,9.02,10.55,12.18,12.47,11.86,11.73,14.39,19.02,22.89,25.11,26.38,26.77,26.42,25.72,25.18,25.14,24.88,24.33,23.17,21.56,19.49,17.04,14.3,11.55,9.38,8.01,7.56,7.69,7.86,7.97,52.7,,,,52.7
In-GC-021-T-SF-2#0419-A1-22T-1,54.46,-19.09,19.69,27.43,134.12,9.54,8.87,9.19,9.46,10.5,11.62,12.05,12.59,14.69,17.94,21.45,24.06,25.71,26.46,26.58,26.42,25.74,24.97,23.92,22.7,21.17,19.22,17.13,14.93,12.79,10.78,9.33,8.44,8.02,8.18,8.33,8.72,52.0,,,,52.0
In-GC-021-T-SF-2#0616-A1-20T-1,53.18,-24.65,11.14,27.05,155.68,6.15,10.28,13.24,15.06,13.65,12.03,11.82,14.9,20.18,24.15,26.15,26.72,26.42,25.88,25.34,24.89,24.38,23.55,22.14,20.06,17.47,14.61,11.93,9.62,8.28,7.65,7.57,7.76,8.06,8.15,8.28,8.42,49.6,,,,49.6
In-RO-021-T-SF-1#0407-A1-13T-1,39.56,22.37,14.62,26.72,33.17,12.71,17.92,8.95,7.4,6.88,6.4,6.35,6.37,6.42,6.43,6.52,6.65,6.88,7.43,7.91,8.36,8.4,8.39,9.14,11.13,14.31,18.1,21.69,24.41,26.43,27.71,28.68,29.22,29.54,29.53,29.33,29.17,46.0,,,,46.0
In-GC-021-T-SF-2#0611-A2-19T-1,46.33,-18.44,-12.97,22.55,215.12,30.18,16.0,16.21,15.57,17.01,20.14,22.77,24.75,25.44,25.25,24.61,23.71,22.71,21.44,19.83,17.88,15.59,13.27,11.2,9.34,8.27,7.9,7.95,8.31,8.5,8.7,8.65,8.72,8.41,8.24,7.91,7.83,45.0,,,,45.0
In-GC-021-T-SF-2#0422-A2-18T-1,49.46,-12.2,11.22,16.58,137.41,14.82,9.41,9.22,10.17,11.88,12.9,12.73,12.44,13.56,15.8,18.37,20.0,20.65,20.86,20.48,19.92,19.14,18.58,17.97,17.61,17.15,16.54,15.65,14.52,13.26,11.84,10.42,9.02,8.05,7.48,7.45,7.68,45.0,,,,45.0
In-GC-021-T-SF-2#0408-A1-21T-1,52.93,-30.93,2.02,31.0,176.27,14.29,10.61,12.49,11.01,10.73,14.19,19.53,24.43,27.36,28.66,29.33,29.42,29.2,28.65,27.64,26.34,24.35,21.9,18.83,15.41,12.01,9.23,7.68,7.32,7.94,8.83,9.67,10.07,10.25,10.15,9.66,9.47,44.0,,,,44.0
In-GC-021-T-SF-2#20210812-A1-10T-1,51.57,4.53,20.81,21.3,77.71,31.47,8.9,11.61,11.6,9.85,8.86,9.72,11.94,13.39,12.8,11.36,10.3,10.83,13.67,17.57,20.98,23.27,24.41,24.82,24.8,24.49,24.17,23.76,23.23,22.33,21.04,19.35,17.14,14.83,12.49,10.26,8.61,42.5,,,,42.5
In-RO-021-T-SF-1#0514-A2-11T-1,39.75,17.39,10.99,20.57,32.28,8.28,18.87,12.22,8.82,7.93,7.62,7.32,7.12,7.13,7.25,7.34,7.44,7.63,7.97,8.44,9.02,9.61,10.13,10.54,11.53,13.12,15.62,18.38,20.9,23.04,24.57,25.73,26.43,26.88,26.94,26.67,26.38,42.2,,,,42.2
In-GC-021-T-SF-2#0423-A1-17T2c-1,48.4,-12.78,9.88,16.16,142.3,14.8,8.83,9.03,9.99,11.46,12.1,12.15,12.49,14.18,16.56,18.53,19.61,19.99,19.9,19.37,18.73,18.04,17.48,17.04,16.69,16.19,15.6,14.59,13.36,12.01,10.59,9.37,8.18,7.63,7.45,7.43,7.57,42.2,,,,42.2
In-RO-021-T-SF-1#0409-A2-16T-1,37.58,17.31,9.54,19.76,28.87,5.82,20.25,12.28,7.81,7.29,6.81,6.74,6.66,6.61,6.69,6.72,6.83,6.91,7.2,7.61,8.29,8.74,8.76,8.75,9.23,10.62,13.35,16.56,19.64,21.92,23.59,24.7,25.34,25.84,26.02,25.71,25.37,42.0,,,,42.0
In-GC-021-T-SF-2#0406-A3-15T8c-1,55.36,-31.33,2.98,31.47,174.56,14.23,11.68,14.65,12.08,9.8,14.04,21.46,27.58,30.39,31.79,32.37,32.47,31.75,30.42,29.26,28.4,26.98,25.03,22.31,18.84,14.79,10.92,8.36,7.5,7.97,8.69,9.28,9.82,10.03,10.07,10.03,9.7,40.0,,,,40.0
In-GC-021-T-SF-2#20210818-A1-15T-1,50.43,-27.02,10.97,29.16,157.91,4.39,8.83,10.61,12.11,12.0,10.94,10.64,12.7,17.27,21.45,24.07,25.07,25.07,24.56,23.81,22.85,21.72,20.29,18.34,16.11,13.52,11.19,9.33,8.11,7.79,8.1,8.45,8.92,9.16,9.24,8.98,8.94,40.0,,,,40.0
In-RO-021-T-SF-1#0510-A2-10T-1,34.55,14.02,-2.28,14.2,350.78,7.5,27.15,23.8,17.06,10.01,8.26,7.75,7.07,6.75,6.74,6.54,6.66,6.65,6.86,6.78,6.95,7.3,7.95,8.66,9.02,8.68,8.52,9.04,10.98,14.03,17.85,21.7,24.32,26.37,27.37,28.0,28.23,39.2,,,,39.2
In-GC-021-T-SF-2#0524-A1-15T8c-1,53.84,-30.04,-0.84,30.05,181.6,16.94,11.35,13.35,13.15,13.81,17.13,21.8,26.63,29.45,30.97,31.48,31.26,30.63,29.7,28.56,27.05,24.87,22.28,19.09,15.58,12.36,9.82,8.42,8.03,8.46,9.02,9.62,10.0,10.16,10.26,9.9,9.57,37.6,,,,37.6
In-GC-021-T-SF-2#20210818-A2-15T-1,51.21,-30.1,5.22,30.55,170.16,10.78,10.07,12.38,12.52,12.32,12.15,13.84,18.16,22.94,26.14,27.45,27.75,27.39,26.75,25.72,24.32,22.44,20.03,17.04,13.93,11.19,9.24,8.3,8.29,8.65,9.13,9.61,9.95,9.93,9.86,9.46,9.24,37.5,,,,37.5
In-GC-021-T-SF-2#20210816-A2-15T-1,53.46,-34.81,-4.93,35.16,188.05,22.14,13.76,16.5,13.9,11.74,15.44,22.41,30.13,35.1,37.6,38.29,37.69,36.18,33.85,30.57,26.32,21.34,16.19,11.95,9.14,8.17,8.85,10.02,11.22,12.03,12.37,12.37,11.96,11.38,10.43,9.55,8.66,37.0,,,,37.0
In-GC-021-T-SF-2#20210812-A3-15T-1,50.99,-23.67,13.01,27.01,151.2,3.67,10.11,9.91,11.89,13.86,13.32,11.77,10.81,12.99,17.56,21.78,24.25,25.02,24.82,24.0,23.24,22.23,21.11,19.79,18.05,15.79,13.25,10.83,9.07,8.13,7.91,8.23,8.57,8.97,9.01,9.05,8.95,37.0,,,,37.0
In-RO-021-T-SF-1#0408-A2-12T3c-1,35.92,14.91,7.22,16.57,25.84,3.08,20.73,12.77,7.85,7.1,6.79,6.5,6.41,6.39,6.48,6.66,6.77,6.75,6.92,7.11,7.61,8.07,8.28,8.31,8.47,9.24,10.95,13.42,16.32,19.01,21.09,22.67,23.73,24.42,24.77,24.83,24.78,37.0,,,,37.0
In-GC-021-T-SF-2#20210819-A2-15T-1,52.52,-15.38,17.88,23.58,130.69,11.58,10.7,9.35,9.67,12.67,13.75,12.26,10.85,10.8,13.66,18.27,21.93,24.14,24.92,24.49,23.66,22.87,22.21,21.61,21.08,20.33,19.23,17.47,15.24,12.92,10.51,8.59,7.81,7.73,8.07,8.24,8.54,37.0,,,,37.0
In-GC-021-T-SF-2#20210816-A1-15T-1,54.85,-33.54,-7.46,34.36,192.54,24.3,15.38,18.68,15.56,12.85,17.41,25.61,34.18,39.42,41.79,42.17,41.22,39.28,36.37,32.33,27.18,21.22,15.39,10.9,8.69,8.92,10.47,12.16,13.51,14.27,14.39,14.04,13.34,12.3,10.96,9.91,8.84,37.0,,,,37.0
In-GC-021-T-SF-2#20210809-A2-15T-1,61.89,-37.74,16.61,41.24,156.25,16.31,10.95,15.81,19.99,18.98,15.26,13.21,17.37,26.25,33.41,37.61,39.75,40.71,40.76,40.09,39.01,37.1,34.33,30.67,26.02,20.93,15.81,11.85,9.17,8.31,8.46,9.22,10.21,10.96,11.2,11.22,10.96,36.5,,,,36.5
In-GC-021-T-SF-2#20210811-A2-15T-1,50.78,2.82,19.46,19.66,81.74,29.55,8.62,11.56,11.62,9.38,8.66,9.81,12.36,13.79,12.6,10.75,9.7,10.57,13.84,17.8,21.09,22.99,23.8,23.82,23.34,22.76,22.24,21.8,21.21,20.44,19.47,18.16,16.4,14.27,12.33,10.31,8.73,36.3,,,,36.3
In-GC-021-T-SF-1#20211014-A2-14T-1,58.17,-33.5,5.68,33.98,170.37,14.36,11.65,13.21,12.01,12.24,16.02,21.69,27.58,31.67,34.15,35.45,35.91,35.8,35.18,34.06,32.63,30.51,27.74,24.3,20.44,16.48,13.05,10.63,9.2,8.91,9.07,9.67,10.05,10.31,10.52,10.4,10.18,36.0,,,,36.0
In-GC-021-T-SF-2#20210820-A2-15T-1,46.91,-19.76,7.99,21.32,157.99,10.43,8.61,10.72,12.24,11.71,10.54,10.12,11.43,15.04,18.59,20.17,20.31,19.69,18.99,18.43,18.04,17.7,17.43,16.77,15.54,13.61,11.43,9.24,7.67,6.95,6.93,7.19,7.47,7.59,7.59,7.6,7.55,35.8,,,,35.8
In-GC-021-T-SF-2#20210810-A1-15T-1,55.85,-37.65,11.8,39.45,162.6,13.04,10.08,14.26,15.88,13.74,11.14,11.84,17.39,24.57,29.59,32.48,33.67,34.05,33.69,32.64,31.05,28.63,25.47,21.7,17.46,13.53,10.42,8.54,7.82,7.96,8.53,9.2,9.68,9.9,9.88,9.65,9.22,35.8,,,,35.8
In-GC-021-T-SF-2#20210819-A3-15T-1,60.04,-20.45,23.98,31.52,130.46,14.4,12.43,10.33,10.48,14.63,16.72,15.52,13.19,13.09,16.82,23.14,28.71,32.23,34.08,34.33,33.89,33.08,32.1,30.97,29.57,27.63,24.95,21.79,18.07,14.41,11.3,9.11,8.2,8.39,8.87,9.46,9.73,35.5,,,,35.5
In-GC-021-T-SF-2#0423-A2-15T-1,50.99,-15.94,13.69,21.02,139.34,10.63,9.0,9.32,10.51,11.63,11.84,11.65,12.13,14.74,18.17,20.93,22.38,22.99,22.91,22.34,21.53,20.61,19.92,19.27,18.65,18.09,17.11,15.9,14.33,12.76,10.95,9.4,8.32,7.75,7.71,7.82,7.95,35.2,,,,35.2
In-GC-021-T-SF-2#0517-A1-14T-1,51.45,-26.07,10.78,28.21,157.53,4.71,8.18,10.03,10.78,9.94,10.05,12.0,16.16,20.36,22.78,24.16,24.73,24.86,24.75,24.31,23.73,22.86,21.59,19.87,17.74,15.15,12.66,10.22,8.4,7.46,7.35,7.7,8.21,8.68,9.1,9.11,9.0,35.2,,,,35.2
In-GC-021-T-SF-2#20210810-A2-15T-1,58.66,-32.38,17.23,36.68,151.97,10.51,9.39,12.65,16.32,15.81,13.26,11.69,14.68,22.07,28.49,32.28,34.09,34.65,34.52,33.8,32.95,31.85,30.14,27.83,24.51,20.53,16.43,12.7,9.97,8.41,8.03,8.32,8.93,9.43,9.94,10.0,9.91,35.0,,,,35.0
In-GC-021-T-SF-2#20210810-A3-15T-1,56.35,-28.47,16.25,32.78,150.29,6.53,9.02,12.07,15.51,15.35,12.81,11.11,13.07,19.4,25.53,29.2,30.77,30.98,30.52,29.75,29.11,28.34,27.27,25.51,23.15,20.07,16.53,13.06,10.27,8.37,7.57,7.48,7.98,8.51,8.79,8.92,8.75,34.6,,,,34.6
In-GC-021-T-SF-2#20210813-A2-15T-1,60.23,-35.04,12.87,37.33,159.83,13.43,14.73,14.11,17.03,20.14,19.84,18.14,17.44,21.55,28.41,34.27,37.77,39.45,39.55,38.56,36.76,34.4,31.38,27.59,23.23,18.64,14.45,11.4,9.62,9.31,9.89,10.78,11.54,12.01,12.18,12.0,11.7,34.5,,,,34.5
In-GC-021-T-SF-2#0406-A2-19T-1,58.02,-36.24,7.36,36.98,168.52,14.85,10.47,14.22,13.28,10.13,12.47,19.68,27.42,31.99,34.25,35.37,35.73,35.7,35.3,34.34,32.94,30.89,28.18,24.65,20.42,15.89,11.63,8.63,7.38,7.69,8.88,10.04,10.96,11.34,11.41,11.07,10.54,33.0,,,,33.0
In-GC-021-T-SF-2#0514-A2-13T-1,56.94,-29.31,15.64,33.22,151.91,7.32,8.59,10.84,12.58,12.51,11.65,12.48,16.93,23.02,27.32,29.64,30.73,31.25,31.29,30.91,30.23,29.22,27.8,25.81,23.24,20.1,16.52,13.13,10.22,8.44,7.8,8.09,8.93,9.57,10.22,10.5,10.69,32.2,,,,32.2
In-GC-021-T-SF-2#0616-A2-12T-1,56.81,-24.51,18.24,30.55,143.35,7.64,10.72,10.08,13.91,16.57,15.83,12.99,11.2,14.67,21.14,26.19,29.01,30.42,30.85,30.38,29.66,28.84,27.85,26.36,24.52,22.04,19.11,16.02,12.72,9.95,8.13,7.36,7.37,7.72,8.08,8.55,8.6,31.3,,,,31.3
