wavelength,0 degree,30 degree,45 degree,60 degree
360.0,0.695666730867,0.551462465989,0.661954453722,0.0758686734222
370.0,0.593999429166,0.812160920413,0.365402483497,0.449372673234
380.0,0.723712589808,0.574548923278,0.306827975278,0.650523968043
390.0,0.657432925672,0.240541566827,0.692701393728,0.764872737022
400.0,0.241834497928,0.790305633124,0.471531029349,0.797537708857
410.0,0.82204012851,0.340975803209,0.838280546077,0.562350230384
420.0,0.773659956407,0.725177447469,0.660586696562,0.762101392196
430.0,0.190693514546,0.77051582804,0.70563550758,0.509541511913
440.0,0.730299658811,0.576936584991,0.752929489026,0.457445857481
450.0,0.608177242338,0.758248843381,0.338612838137,0.687977508567
460.0,0.675041092783,0.672381065589,0.421653074695,0.700750088809
470.0,0.739745177775,0.221765034026,0.597440433979,0.759656827106
480.0,0.508455870964,0.435828254609,0.649547525217,0.786496897047
490.0,0.265413522488,0.485540562389,0.786056432041,0.713988599016
500.0,0.460450126535,0.589205460116,0.83479024997,0.468974586704
510.0,0.384646939334,0.789180611707,0.792702952667,0.265178659909
520.0,0.539754179845,0.847870883765,0.583163621337,0.570460711345
530.0,0.777874373022,0.819134119927,0.206419915527,0.640137869433
540.0,0.841119695964,0.649674189692,0.53513615043,0.598872536575
550.0,0.816319495629,0.250297986729,0.688479810134,0.481994171823
560.0,0.665508480004,0.484510248243,0.699911247217,0.321469918234
570.0,0.299499491832,0.698266763762,0.62653522535,0.246964398845
580.0,0.448049398071,0.746979555096,0.473743900331,0.271913925598
590.0,0.688253185236,0.715565446798,0.285942755168,0.266944469666
600.0,0.759931230626,0.611218803278,0.185927750663,0.236730392476
610.0,0.753394927808,0.43144525138,0.178022256877,0.236515986451
620.0,0.687229136724,0.242461254789,0.178781963854,0.275875582336
630.0,0.55215642045,0.147576167673,0.188885605198,0.308078184412
640.0,0.361740626946,0.132027344461,0.232055221622,0.302554662112
650.0,0.198495445643,0.1480768367,0.289019529938,0.25418895888
660.0,0.126219293237,0.193168623083,0.323037273958,0.176109481894
670.0,0.12112047557,0.261036126159,0.315098704411,0.114216845045
680.0,0.156816537407,0.322715525455,0.26175994891,0.129433831391
690.0,0.223138723297,0.353013204177,0.173355663273,0.207759281465
700.0,0.298041520685,0.341183634453,0.0873108663516,0.287724737476
710.0,0.354509423185,0.285524367057,0.0653996831438,0.340187822454
720.0,0.376626894619,0.19470824473,0.126547999401,0.361632363703
730.0,0.358672317322,0.100511559862,0.219836310865,0.354976488314
740.0,0.300171742517,0.0581965595096,0.29730470747,0.323751749232
750.0,0.209055438742,0.0974742475872,0.342899128695,0.27248851494
760.0,0.113556569497,0.185195743248,0.356268204235,0.209767365733
770.0,0.0633192398381,0.271722264584,0.340682675919,0.151465063778
780.0,0.0897181879257,0.332030950907,0.299943330305,0.117474032782
790.0,0.169504355089,0.361018897211,0.239479881817,0.118384318348
800.0,0.256801733613,0.360576175501,0.169058182876,0.147667014963
