Name,Weight,L*,a*,b*,deltaL*,deltaa*,deltab*,deltaE*ab,400 nm,410 nm,420 nm,430 nm,440 nm,450 nm,460 nm,470 nm,480 nm,490 nm,500 nm,510 nm,520 nm,530 nm,540 nm,550 nm,560 nm,570 nm,580 nm,590 nm,600 nm,610 nm,620 nm,630 nm,640 nm,650 nm,660 nm,670 nm,680 nm,690 nm,700 nm,L*_,a*_,b*_,deltaL*_,deltaa*_,deltab*_,deltaE*ab_,400nm_,410nm_,420nm_,430nm_,440nm_,450nm_,460nm_,470nm_,480nm_,490nm_,500nm_,510nm_,520nm_,530nm_,540nm_,550nm_,560nm_,570nm_,580nm_,590nm_,600nm_,610nm_,620nm_,630nm_,640nm_,650nm_,660nm_,670nm_,680nm_,690nm_,700nm_
In-WB-001-O-SF-3#20220513-A1-20T-3,43,70.92,-2.75,0.64,2.13,-1.61,-1.94,3.3,37.97,39.11,39.83,41.2,41.47,41.65,41.95,42.15,42.22,42.14,42.13,42.1,42.27,42.33,42.53,42.84,43.06,43.29,43.42,43.22,42.58,41.43,39.75,37.39,34.48,31.26,27.82,24.48,21.42,18.94,17.07,87.06,-11.44,-0.39,7.89,-3.96,-2.13,9.08,63.86,65.87,67.78,69.44,70.45,70.97,71.28,71.67,71.8,71.9,72.24,72.86,73.6,74.47,75.09,75.56,75.56,74.87,73.13,69.69,64.89,59.04,51.89,44.25,36.98,30.64,25.49,21.79,19.51,18.11,17.69
In-WB-001-O-SF-3#20220513-A2-20T-3,46,71.06,-0.93,-0.14,2.27,0.2,-2.71,3.54,38.8,39.83,40.61,41.77,42.32,42.87,43.04,42.93,42.82,42.69,42.54,42.43,42.32,42.25,42.26,42.26,42.36,42.52,42.68,42.88,42.77,42.59,41.98,41.02,39.46,37.48,34.7,31.66,28.33,25.29,22.64,87.8,-5,-0.23,8.62,2.48,-1.97,9.19,65.46,67.47,69.41,71.16,72.07,72.47,72.61,72.75,72.57,72.34,72.28,72.41,72.63,73.08,73.36,73.65,73.96,74.22,74.17,73.28,71.45,68.75,64.47,58.8,52.39,45.83,39.63,34.38,30.48,27.56,26.03
In-WB-001-O-SF-3#20220513-A3-20T-3,46,67.98,0.32,2.92,-0.81,1.46,0.35,1.71,30.5,31.97,33.08,34.54,35.38,36.11,36.53,36.63,36.79,36.91,36.93,36.99,37.16,37.29,37.5,37.76,38.14,38.58,39.03,39.46,39.71,39.9,39.74,39.12,38.01,36.38,34.05,31.38,28.34,25.51,22.79,83.88,-3.56,4.62,4.71,3.92,2.87,6.77,49.8,52.25,54.71,57.02,58.39,59.27,59.91,60.52,60.86,61.15,61.58,62.2,62.94,63.9,64.72,65.68,66.64,67.55,68.15,67.82,66.52,64.3,60.61,55.69,49.94,43.99,38.16,33.01,28.75,25.15,22.75
In-WB-001-O-SF-3#20220514-A1-20T-3,43.5,68.61,0.45,3.68,-0.18,1.59,1.1,1.94,29.18,31.36,32.91,34.59,35.54,36.42,36.89,37.12,37.36,37.49,37.57,37.73,37.9,38.03,38.31,38.6,39,39.46,39.97,40.5,40.89,41.18,41.06,40.61,39.5,37.88,35.22,32.22,28.62,25,21.68,84.84,-2.46,5.86,5.66,5.02,4.11,8.61,48.53,51.34,54.3,57.1,58.77,59.82,60.53,61.23,61.68,62.05,62.53,63.23,64.06,65.11,66.06,67.1,68.24,69.39,70.35,70.62,69.98,68.38,65.13,60.25,54.11,47.14,39.86,32.91,26.89,21.49,17.68
In-WB-001-O-SF-3#20220514-A2-20T-3,43.5,68.13,-0.31,3.32,-0.66,0.83,0.74,1.29,29.31,31.35,32.58,33.84,35.03,36.23,36.74,36.68,36.9,37.15,37.26,37.38,37.53,37.63,37.89,38.12,38.46,38.82,39.25,39.54,39.75,39.86,39.5,38.86,37.54,35.77,33.31,30.4,27.12,23.85,21.02,83.48,-4.06,4.44,4.31,3.41,2.69,6.12,48.42,51.05,53.77,56.28,57.82,58.79,59.48,60.14,60.57,60.91,61.29,61.86,62.58,63.4,64.18,64.96,65.77,66.5,66.98,66.63,65.39,63.27,59.66,54.69,48.75,42.36,35.94,30.05,25.1,20.99,18.28
In-WB-001-O-SF-3#20220514-A3-11T-3,24.5,65.71,-0.41,5.41,-3.08,0.73,2.83,4.25,23.28,25.73,27.29,28.9,30.37,31.74,32.38,32.54,32.91,33.31,33.63,33.94,34.14,34.35,34.71,35.03,35.46,35.88,36.33,36.71,36.84,36.96,36.65,36.06,34.9,33.38,31.19,28.68,25.68,22.73,20.05,80.17,-3.94,6.98,1,3.54,5.24,6.4,38.18,41.13,44.23,47.37,49.28,50.56,51.57,52.53,53.21,53.81,54.49,55.28,56.15,57.16,58.03,58.94,59.74,60.43,60.85,60.59,59.62,57.94,54.95,50.89,45.97,40.55,34.95,29.59,24.95,20.68,17.61
In-WB-001-O-SF-3#20220516-A1-20T-3,46,69.07,-0.15,3.95,0.28,0.99,1.38,1.72,28.37,30.91,32.65,34.2,35.69,37.07,37.73,37.78,37.98,38.26,38.47,38.56,38.69,38.79,39.11,39.31,39.67,40.11,40.57,40.99,41.29,41.44,41.24,40.75,39.58,37.97,35.56,32.8,29.25,25.86,22.87,84.96,-3.36,5.67,5.79,4.11,3.93,8.11,47.39,50.68,54.01,57.16,59.04,60.28,61.18,62,62.52,62.94,63.43,64.11,64.9,65.82,66.66,67.62,68.53,69.49,70.17,70.15,69.24,67.47,64.14,59.34,53.42,46.84,39.95,33.36,27.55,22.31,18.51
In-WB-001-O-SF-3#20220516-A2-20T-3,42.5,64.97,-0.15,4.72,-3.82,0.99,2.15,4.49,22.97,25.49,27.05,28.56,30.05,31.38,31.91,32.07,32.35,32.74,32.96,33.2,33.33,33.44,33.76,33.93,34.27,34.6,35.04,35.37,35.6,35.86,35.76,35.52,34.84,33.73,32.04,29.87,27.14,24.28,21.63,79.77,-2.5,7.18,0.6,4.98,5.43,7.39,36.68,39.76,43.09,46.41,48.45,49.81,50.85,51.8,52.5,53.05,53.67,54.39,55.12,55.94,56.66,57.46,58.23,59.04,59.72,59.9,59.58,58.69,56.66,53.54,49.36,44.39,38.89,33.26,28.03,23.02,19.2
In-WB-001-O-SF-3#20220517-A1-20T-3,46.5,67.11,0.03,4.57,-1.68,1.16,1.99,2.86,25.35,27.87,29.62,31.13,32.72,34.16,34.75,34.75,35.07,35.4,35.63,35.81,35.96,36.11,36.43,36.68,36.99,37.47,37.89,38.3,38.6,38.85,38.77,38.5,37.63,36.3,34.29,31.71,28.64,25.44,22.41,82.71,-2.92,6.59,3.53,4.56,4.85,7.54,42.25,45.42,48.72,51.98,54,55.31,56.27,57.18,57.8,58.32,58.88,59.6,60.41,61.3,62.1,63.03,63.99,64.92,65.7,65.82,65.24,63.88,61.04,56.79,51.44,45.35,38.87,32.65,27.13,22.17,18.51
In-WB-001-O-SF-3#20220517-A2-20T-3,46,67.05,0.68,5.59,-1.74,1.82,3.02,3.93,24.36,27.01,28.61,30.2,31.9,33.29,33.97,34.08,34.43,34.83,35.08,35.34,35.57,35.75,36.14,36.52,36.95,37.46,38.04,38.55,39.05,39.44,39.59,39.44,38.77,37.64,35.79,33.27,30.11,26.65,23.36,83.89,-1.37,8.42,4.72,6.11,6.67,10.2,41.41,44.72,48.32,51.86,54.03,55.52,56.65,57.71,58.47,59.1,59.81,60.73,61.69,62.81,63.78,64.91,66.02,67.22,68.35,68.93,68.9,68.26,66.24,62.78,58.06,52.29,45.82,39.23,32.94,26.9,22.21
