nm,n,k,wl
386,2.320522804,0.569707196,0.386
387,2.322888131,0.567298398,0.387
388,2.325234322,0.564877563,0.388
389,2.327557443,0.562439628,0.389
390,2.329860561,0.559983726,0.39
391,2.332135998,0.557510102,0.391
392,2.334388051,0.555019378,0.392
393,2.336620696,0.552516347,0.393
394,2.338829598,0.549989945,0.394
395,2.341016565,0.547448364,0.395
396,2.343176431,0.544896282,0.396
397,2.345309166,0.542327107,0.397
398,2.347422402,0.539748398,0.398
399,2.34950947,0.537149702,0.399
400,2.351569428,0.534536286,0.4
401,2.353612274,0.531915754,0.401
402,2.355627998,0.529279946,0.402
403,2.35761662,0.52662412,0.403
404,2.359577055,0.523968317,0.404
405,2.361512505,0.521294993,0.405
406,2.36342583,0.518610626,0.406
407,2.365314546,0.515911639,0.407
408,2.367172977,0.513208706,0.408
409,2.36901063,0.510494055,0.409
410,2.370818009,0.507762844,0.41
411,2.372598257,0.505031087,0.411
412,2.374361394,0.502289609,0.412
413,2.376087426,0.499532161,0.413
414,2.377796341,0.496772118,0.414
415,2.379471211,0.494002078,0.415
416,2.38112283,0.491232027,0.416
417,2.382750395,0.488451809,0.417
418,2.384349602,0.485661939,0.418
419,2.385924198,0.482864604,0.419
420,2.387470429,0.480065999,0.42
421,2.388993958,0.477257398,0.421
422,2.390484514,0.47444583,0.422
423,2.391957961,0.471628664,0.423
424,2.393394284,0.468811518,0.424
425,2.394813504,0.465984348,0.425
426,2.396205601,0.463157199,0.426
427,2.397570589,0.460320037,0.427
428,2.39890846,0.457488565,0.428
429,2.400219216,0.454652854,0.429
430,2.401502863,0.451808559,0.43
431,2.402759386,0.448971414,0.431
432,2.403997338,0.446125725,0.432
433,2.405208199,0.443280002,0.433
434,2.406381941,0.440434291,0.434
435,2.40753857,0.437588576,0.435
436,2.408678086,0.434745628,0.436
437,2.409780483,0.431898479,0.437
438,2.410865659,0.429051423,0.438
439,2.411913941,0.42620572,0.439
440,2.412945001,0.423366997,0.44
441,2.4139545,0.420524286,0.441
442,2.414929886,0.417682686,0.442
443,2.415888159,0.414842852,0.443
444,2.416819313,0.412007145,0.444
445,2.41772336,0.409171204,0.445
446,2.418608628,0.406334058,0.446
447,2.419467002,0.403506892,0.447
448,2.420298259,0.400679738,0.448
449,2.421112401,0.397862581,0.449
450,2.421899431,0.39503799,0.45
451,2.422659343,0.392228272,0.451
452,2.423401825,0.389411127,0.452
453,2.424116071,0.3866122,0.453
454,2.424803198,0.383803607,0.454
455,2.425473214,0.381015003,0.455
456,2.426126114,0.378220316,0.456
457,2.42674437,0.375437806,0.457
458,2.427350572,0.372650224,0.458
459,2.427931713,0.369880193,0.459
460,2.428484715,0.367110139,0.46
461,2.4290206,0.364350102,0.461
462,2.429534629,0.361595313,0.462
463,2.430024844,0.358843825,0.463
464,2.430497943,0.356102344,0.464
465,2.430944859,0.353361777,0.465
466,2.4313728,0.350638859,0.466
467,2.431782601,0.34791592,0.467
468,2.4321724,0.345202997,0.468
469,2.432537044,0.342500065,0.469
470,2.432884573,0.339800849,0.47
471,2.433204985,0.337106488,0.471
472,2.433518285,0.334432125,0.472
473,2.433803857,0.331757127,0.473
474,2.434061485,0.329091322,0.474
475,2.434312,0.326435501,0.475
476,2.434540457,0.323789688,0.476
477,2.4347453,0.32114749,0.477
478,2.434943029,0.318520226,0.478
479,2.435113643,0.315902978,0.479
480,2.435266429,0.313294994,0.48
481,2.435399214,0.310686303,0.481
482,2.4355156,0.308097597,0.482
483,2.435614871,0.305518898,0.483
484,2.435690543,0.302943714,0.484
485,2.435754143,0.300385636,0.485
486,2.435800629,0.297834059,0.486
487,2.435829186,0.295292462,0.487
488,2.43584,0.292760884,0.488
489,2.4358337,0.290235593,0.489
490,2.435815143,0.287727422,0.49
491,2.435773172,0.285229547,0.491
492,2.435716057,0.282738494,0.492
493,2.435648414,0.280264013,0.493
494,2.435562743,0.277789552,0.494
495,2.435459429,0.275332714,0.495
496,2.435339,0.272893004,0.496
497,2.435206214,0.270455645,0.497
498,2.435060114,0.268031599,0.498
499,2.434888772,0.265620933,0.499
500,2.434717,0.263213995,0.5
501,2.4345171,0.260825204,0.501
502,2.4343172,0.258446396,0.502
503,2.4340912,0.2560837,0.503
504,2.433852743,0.253728112,0.504
505,2.433601071,0.251379638,0.505
506,2.433342286,0.249046515,0.506
507,2.433066713,0.246723376,0.507
508,2.432771143,0.244420257,0.508
509,2.432468127,0.242124563,0.509
510,2.432153999,0.239835995,0.51
511,2.431819872,0.23755999,0.511
512,2.431479515,0.235303978,0.512
513,2.431119943,0.233047957,0.513
514,2.430756802,0.23081218,0.514
515,2.430375785,0.228584713,0.515
516,2.429977201,0.226367262,0.516
517,2.4295774,0.224165701,0.517
518,2.4291576,0.221976801,0.518
519,2.428731772,0.219800917,0.519
520,2.428286428,0.217632139,0.52
521,2.427837944,0.215480362,0.521
522,2.427372342,0.213338566,0.522
523,2.426904114,0.211206787,0.523
524,2.426421399,0.209090797,0.524
525,2.425921571,0.206987568,0.525
526,2.425417543,0.204897256,0.526
527,2.424902041,0.20281405,0.527
528,2.424369486,0.200747944,0.528
529,2.423836869,0.19869182,0.529
530,2.423294285,0.196645711,0.53
531,2.422736001,0.194615305,0.531
532,2.422164858,0.192597748,0.532
533,2.4215909,0.190593001,0.533
534,2.421002573,0.188595378,0.534
535,2.420411499,0.186614926,0.535
536,2.419803316,0.184644491,0.536
537,2.419195057,0.182691085,0.537
538,2.418566801,0.180749202,0.538
539,2.417938543,0.178811473,0.539
540,2.417300285,0.176890855,0.54
541,2.416650758,0.174984817,0.541
542,2.415993941,0.173091309,0.542
543,2.415328744,0.171206545,0.543
544,2.414660313,0.169338711,0.544
545,2.413977999,0.167482498,0.545
546,2.413288571,0.165636284,0.546
547,2.412594641,0.16380268,0.547
548,2.411890714,0.1619762,0.548
549,2.411176782,0.160167363,0.549
550,2.410454571,0.158376284,0.55
551,2.409728931,0.156588906,0.551
552,2.408999601,0.154820603,0.552
553,2.408257115,0.153058616,0.553
554,2.407504631,0.151316633,0.554
555,2.406752142,0.149575713,0.555
556,2.405990031,0.147852663,0.556
557,2.405228985,0.146148856,0.557
558,2.404451201,0.144452174,0.558
559,2.4036716,0.1427673,0.559
560,2.402882,0.141092428,0.56
561,2.402092401,0.139429973,0.561
562,2.401292798,0.137783653,0.562
563,2.400493201,0.136146874,0.563
564,2.399675512,0.13451911,0.564
565,2.398864,0.132907999,0.565
566,2.398039199,0.131308797,0.566
567,2.397211041,0.129723353,0.567
568,2.396382885,0.128142713,0.568
569,2.395544725,0.126582065,0.569
570,2.394706571,0.125030857,0.57
571,2.393858417,0.123488777,0.571
572,2.393003715,0.12196323,0.572
573,2.392147002,0.120449703,0.573
574,2.39128663,0.118946175,0.574
575,2.390421357,0.117454857,0.575
576,2.389546088,0.11597989,0.576
577,2.388670813,0.114514241,0.577
578,2.387795545,0.113057831,0.578
579,2.386910271,0.111611414,0.579
580,2.386025,0.11018,0.58
581,2.385129729,0.108762144,0.581
582,2.384234455,0.107356397,0.582
583,2.383338516,0.105957773,0.583
584,2.382433912,0.104577024,0.584
585,2.381528643,0.103206286,0.585
586,2.380617027,0.10184554,0.586
587,2.379703198,0.100499698,0.587
588,2.37878937,0.09916097,0.588
589,2.377865539,0.097837338,0.589
590,2.376941715,0.096524286,0.59
591,2.376018761,0.09522922,0.591
592,2.375094058,0.093934144,0.592
593,2.374163988,0.092659074,0.593
594,2.373231602,0.091398802,0.594
595,2.372292572,0.090142286,0.595
596,2.371356831,0.088897689,0.596
597,2.370414441,0.087669727,0.597
598,2.36947206,0.086450803,0.598
599,2.36852967,0.085241399,0.599
600,2.367587286,0.084048144,0.6
601,2.3666349,0.0828673,0.601
602,2.365682513,0.081696456,0.602
603,2.364738315,0.080535615,0.603
604,2.363787368,0.079385139,0.604
605,2.362826429,0.078242858,0.605
606,2.361872969,0.077118054,0.606
607,2.360920585,0.076004327,0.607
608,2.359963598,0.074900598,0.608
609,2.359005811,0.073810025,0.609
610,2.358051715,0.072726572,0.61
611,2.357091047,0.071659962,0.611
612,2.356138657,0.070603343,0.612
613,2.355178889,0.069554117,0.613
614,2.354223887,0.068516058,0.614
615,2.353271501,0.067492501,0.615
616,2.352319116,0.066473002,0.616
617,2.351366728,0.065463499,0.617
618,2.350414346,0.064464174,0.618
619,2.349461956,0.063474498,0.619
620,2.348509573,0.062492287,0.62
621,2.347557185,0.061521342,0.621
622,2.346610399,0.060560399,0.622
