nm,n,k,wl
362.494598,1.359992,1.710921,0.362494598
363.258698,1.3628,1.71939,0.363258698
364.022705,1.365662,1.727793,0.364022705
364.786652,1.368577,1.736129,0.364786652
365.550568,1.371543,1.744401,0.365550568
366.314423,1.374559,1.752608,0.366314423
367.078186,1.377623,1.760749,0.367078186
367.841919,1.380734,1.768827,0.367841919
368.605591,1.38389,1.77684,0.368605591
369.369202,1.38709,1.78479,0.369369202
370.132782,1.390334,1.792676,0.370132782
370.896271,1.393618,1.800499,0.370896271
371.659698,1.396943,1.80826,0.371659698
372.423096,1.400307,1.815958,0.372423096
373.186401,1.403709,1.823594,0.373186401
373.949677,1.407148,1.831169,0.373949677
374.712891,1.410623,1.838683,0.374712891
375.476044,1.414132,1.846136,0.375476044
376.239136,1.417675,1.853529,0.376239136
377.002167,1.42125,1.860862,0.377002167
377.765137,1.424856,1.868136,0.377765137
378.528076,1.428493,1.875351,0.378528076
379.290924,1.43216,1.882506,0.379290924
380.053741,1.435855,1.889604,0.380053741
380.816467,1.439577,1.896644,0.380816467
381.579163,1.443327,1.903627,0.381579163
382.341797,1.447102,1.910554,0.382341797
383.10437,1.450902,1.917423,0.38310437
383.866882,1.454726,1.924237,0.383866882
384.629333,1.458574,1.930995,0.384629333
385.391724,1.462444,1.937698,0.385391724
386.154083,1.466336,1.944346,0.386154083
386.916351,1.470249,1.95094,0.386916351
387.678589,1.474182,1.957481,0.387678589
388.440765,1.478135,1.963968,0.388440765
389.20285,1.482106,1.970402,0.38920285
389.964905,1.486095,1.976784,0.389964905
390.726898,1.490102,1.983113,0.390726898
391.488861,1.494126,1.989392,0.391488861
392.250732,1.498166,1.995618,0.392250732
393.012543,1.502221,2.001794,0.393012543
393.774323,1.506291,2.00792,0.393774323
394.536011,1.510375,2.013996,0.394536011
395.297668,1.514474,2.020022,0.395297668
396.059265,1.518585,2.026,0.396059265
396.820801,1.522709,2.031929,0.396820801
397.582275,1.526844,2.037809,0.397582275
398.343689,1.530992,2.043642,0.398343689
399.105042,1.53515,2.049427,0.399105042
399.866333,1.539318,2.055166,0.399866333
400.627594,1.543497,2.060858,0.400627594
401.388763,1.547685,2.066503,0.401388763
402.149902,1.551881,2.072103,0.402149902
402.91098,1.556087,2.077658,0.40291098
403.671997,1.5603,2.083168,0.403671997
404.432953,1.564521,2.088633,0.404432953
405.193848,1.568749,2.094054,0.405193848
405.954681,1.572984,2.099431,0.405954681
406.715485,1.577226,2.104765,0.406715485
407.476196,1.581473,2.110056,0.407476196
408.236877,1.585725,2.115305,0.408236877
408.997467,1.589983,2.120511,0.408997467
409.758026,1.594246,2.125675,0.409758026
410.518524,1.598512,2.130798,0.410518524
411.278961,1.602783,2.13588,0.411278961
412.039368,1.607058,2.140922,0.412039368
412.799683,1.611336,2.145923,0.412799683
413.559937,1.615616,2.150883,0.413559937
414.32016,1.6199,2.155805,0.41432016
415.080322,1.624185,2.160687,0.415080322
415.840393,1.628473,2.16553,0.415840393
416.600433,1.632762,2.170335,0.416600433
417.360413,1.637053,2.175102,0.417360413
418.120361,1.641345,2.179831,0.418120361
418.880219,1.645637,2.184522,0.418880219
419.640015,1.64993,2.189177,0.419640015
420.39978,1.654223,2.193794,0.42039978
421.159485,1.658517,2.198376,0.421159485
421.919098,1.662809,2.202921,0.421919098
422.67868,1.667102,2.20743,0.42267868
423.438202,1.671393,2.211904,0.423438202
424.197693,1.675683,2.216343,0.424197693
424.957092,1.679973,2.220747,0.424957092
425.716431,1.68426,2.225117,0.425716431
426.475739,1.688546,2.229453,0.426475739
427.234985,1.692829,2.233755,0.427234985
427.994141,1.69711,2.238023,0.427994141
428.753265,1.701389,2.242258,0.428753265
429.51236,1.705666,2.246461,0.42951236
430.271362,1.709939,2.250631,0.430271362
431.030304,1.714209,2.254769,0.431030304
431.789215,1.718476,2.258875,0.431789215
432.548035,1.72274,2.262949,0.432548035
433.306824,1.726999,2.266992,0.433306824
434.065552,1.731255,2.271004,0.434065552
434.824219,1.735507,2.274986,0.434824219
435.582825,1.739755,2.278937,0.435582825
436.3414,1.743999,2.282858,0.4363414
437.099884,1.748237,2.286749,0.437099884
437.858337,1.752471,2.29061,0.437858337
438.61673,1.756701,2.294443,0.43861673
439.375031,1.760925,2.298246,0.439375031
440.133301,1.765144,2.302021,0.440133301
440.891541,1.769358,2.305767,0.440891541
441.649689,1.773566,2.309485,0.441649689
442.407806,1.777768,2.313176,0.442407806
443.165833,1.781965,2.316839,0.443165833
443.923828,1.786156,2.320474,0.443923828
444.681763,1.790341,2.324083,0.444681763
445.439636,1.79452,2.327665,0.445439636
446.197449,1.798692,2.33122,0.446197449
446.955231,1.802859,2.334749,0.446955231
447.712921,1.807018,2.338252,0.447712921
448.470581,1.811171,2.341729,0.448470581
449.22818,1.815318,2.345181,0.44922818
449.985718,1.819457,2.348608,0.449985718
450.743195,1.82359,2.35201,0.450743195
451.50061,1.827715,2.355386,0.45150061
452.257996,1.831833,2.358739,0.452257996
453.015289,1.835944,2.362067,0.453015289
