nm,n,k,wl
362.494598,2.67249,0.010387,0.362494598
363.258698,2.666596,0.008851,0.363258698
364.022705,2.660774,0.007445,0.364022705
364.786652,2.655028,0.006168,0.364786652
365.550568,2.649361,0.005016,0.365550568
366.314423,2.643776,0.003988,0.366314423
367.078186,2.63828,0.003082,0.367078186
367.841919,2.632874,0.002297,0.367841919
368.605591,2.627565,0.00163,0.368605591
369.369202,2.622359,0.00108,0.369369202
370.132782,2.617261,0.000645,0.370132782
370.896271,2.612281,0.000322,0.370896271
371.659698,2.607429,0.000112,0.371659698
372.423096,2.602725,0.00001,0.372423096
373.186401,2.598213,0,0.373186401
373.949677,2.593884,0,0.373949677
374.712891,2.589696,0,0.374712891
375.476044,2.585628,0,0.375476044
376.239136,2.581668,0,0.376239136
377.002167,2.577809,0,0.377002167
377.765137,2.574042,0,0.377765137
378.528076,2.570361,0,0.378528076
379.290924,2.566762,0,0.379290924
380.053741,2.56324,0,0.380053741
380.816467,2.559791,0,0.380816467
381.579163,2.556412,0,0.381579163
382.341797,2.553099,0,0.382341797
383.10437,2.54985,0,0.38310437
383.866882,2.546662,0,0.383866882
384.629333,2.543532,0,0.384629333
385.391724,2.540459,0,0.385391724
386.154083,2.537439,0,0.386154083
386.916351,2.534473,0,0.386916351
387.678589,2.531556,0,0.387678589
388.440765,2.528689,0,0.388440765
389.20285,2.525869,0,0.38920285
389.964905,2.523094,0,0.389964905
390.726898,2.520364,0,0.390726898
391.488861,2.517676,0,0.391488861
392.250732,2.515031,0,0.392250732
393.012543,2.512426,0,0.393012543
393.774323,2.50986,0,0.393774323
394.536011,2.507332,0,0.394536011
395.297668,2.504842,0,0.395297668
396.059265,2.502388,0,0.396059265
396.820801,2.499969,0,0.396820801
397.582275,2.497584,0,0.397582275
398.343689,2.495233,0,0.398343689
399.105042,2.492915,0,0.399105042
399.866333,2.490628,0,0.399866333
400.627594,2.488373,0,0.400627594
401.388763,2.486147,0,0.401388763
402.149902,2.483952,0,0.402149902
402.91098,2.481785,0,0.40291098
403.671997,2.479647,0,0.403671997
404.432953,2.477536,0,0.404432953
405.193848,2.475452,0,0.405193848
405.954681,2.473395,0,0.405954681
406.715485,2.471364,0,0.406715485
407.476196,2.469357,0,0.407476196
408.236877,2.467376,0,0.408236877
408.997467,2.465419,0,0.408997467
409.758026,2.463486,0,0.409758026
410.518524,2.461576,0,0.410518524
411.278961,2.459688,0,0.411278961
412.039368,2.457823,0,0.412039368
412.799683,2.45598,0,0.412799683
413.559937,2.454159,0,0.413559937
414.32016,2.452358,0,0.41432016
415.080322,2.450578,0,0.415080322
415.840393,2.448819,0,0.415840393
416.600433,2.447079,0,0.416600433
417.360413,2.445359,0,0.417360413
418.120361,2.443658,0,0.418120361
418.880219,2.441976,0,0.418880219
419.640015,2.440312,0,0.419640015
420.39978,2.438667,0,0.42039978
421.159485,2.437039,0,0.421159485
421.919098,2.435429,0,0.421919098
422.67868,2.433836,0,0.42267868
423.438202,2.43226,0,0.423438202
424.197693,2.430701,0,0.424197693
424.957092,2.429157,0,0.424957092
425.716431,2.42763,0,0.425716431
426.475739,2.426119,0,0.426475739
427.234985,2.424623,0,0.427234985
427.994141,2.423143,0,0.427994141
428.753265,2.421677,0,0.428753265
429.51236,2.420227,0,0.42951236
430.271362,2.418791,0,0.430271362
431.030304,2.417369,0,0.431030304
431.789215,2.415961,0,0.431789215
432.548035,2.414567,0,0.432548035
433.306824,2.413187,0,0.433306824
434.065552,2.41182,0,0.434065552
434.824219,2.410467,0,0.434824219
435.582825,2.409127,0,0.435582825
436.3414,2.407799,0,0.4363414
437.099884,2.406484,0,0.437099884
437.858337,2.405181,0,0.437858337
438.61673,2.403891,0,0.43861673
439.375031,2.402613,0,0.439375031
440.133301,2.401346,0,0.440133301
440.891541,2.400092,0,0.440891541
441.649689,2.398849,0,0.441649689
442.407806,2.397617,0,0.442407806
443.165833,2.396397,0,0.443165833
443.923828,2.395188,0,0.443923828
444.681763,2.393989,0,0.444681763
445.439636,2.392802,0,0.445439636
446.197449,2.391624,0,0.446197449
446.955231,2.390458,0,0.446955231
447.712921,2.389302,0,0.447712921
448.470581,2.388156,0,0.448470581
449.22818,2.38702,0,0.44922818
449.985718,2.385894,0,0.449985718
450.743195,2.384778,0,0.450743195
451.50061,2.383671,0,0.45150061
452.257996,2.382574,0,0.452257996
453.015289,2.381486,0,0.453015289
453.772552,2.380408,0,0.453772552
454.529755,2.379339,0,0.454529755
455.286896,2.378278,0,0.455286896
456.043976,2.377227,0,0.456043976
456.801025,2.376184,0,0.456801025
457.557983,2.37515,0,0.457557983
458.314911,2.374125,0,0.458314911
459.071777,2.373108,0,0.459071777
459.828583,2.3721,0,0.459828583
460.585358,2.3711,0,0.460585358
461.342041,2.370108,0,0.461342041
462.098694,2.369124,0,0.462098694
462.855255,2.368148,0,0.462855255
463.611786,2.367179,0,0.463611786
464.368256,2.366219,0,0.464368256
465.124695,2.365266,0,0.465124695
465.881042,2.364321,0,0.465881042
466.63736,2.363383,0,0.46663736
467.393616,2.362453,0,0.467393616
468.149811,2.36153,0,0.468149811
468.905945,2.360614,0,0.468905945
469.662018,2.359705,0,0.469662018
470.41806,2.358804,0,0.47041806
471.174042,2.357909,0,0.471174042
471.929932,2.357021,0,0.471929932
472.685822,2.35614,0,0.472685822
473.44162,2.355266,0,0.47344162
474.197357,2.354398,0,0.474197357
474.953064,2.353537,0,0.474953064
475.70871,2.352683,0,0.47570871
476.464294,2.351835,0,0.476464294
477.219818,2.350993,0,0.477219818
477.975281,2.350157,0,0.477975281
478.730713,2.349328,0,0.478730713
479.486084,2.348505,0,0.479486084
480.241394,2.347688,0,0.480241394
480.996643,2.346877,0,0.480996643
481.751831,2.346071,0,0.481751831
482.506989,2.345272,0,0.482506989
483.262085,2.344479,0,0.483262085
484.01712,2.343691,0,0.48401712
484.772095,2.342909,0,0.484772095
485.527008,2.342133,0,0.485527008
486.281891,2.341362,0,0.486281891
487.036713,2.340597,0,0.487036713
487.791473,2.339837,0,0.487791473
488.546173,2.339082,0,0.488546173
489.300812,2.338333,0,0.489300812
490.05542,2.337589,0,0.49005542
490.809967,2.336851,0,0.490809967
491.564453,2.336117,0,0.491564453
492.318878,2.335389,0,0.492318878
493.073242,2.334665,0,0.493073242
493.827576,2.333947,0,0.493827576
494.581848,2.333234,0,0.494581848
495.33606,2.332525,0,0.49533606
496.09021,2.331822,0,0.49609021
496.84433,2.331123,0,0.49684433
497.598389,2.330429,0,0.497598389
498.352386,2.32974,0,0.498352386
499.106323,2.329055,0,0.499106323
499.860199,2.328375,0,0.499860199
500.614044,2.327699,0,0.500614044
501.367828,2.327029,0,0.501367828
502.121552,2.326362,0,0.502121552
502.875214,2.3257,0,0.502875214
503.628845,2.325042,0,0.503628845
504.382416,2.324389,0,0.504382416
505.135925,2.32374,0,0.505135925
505.889374,2.323095,0,0.505889374
506.642761,2.322455,0,0.506642761
507.396118,2.321819,0,0.507396118
508.149414,2.321186,0,0.508149414
508.902649,2.320558,0,0.508902649
509.655853,2.319934,0,0.509655853
510.408966,2.319314,0,0.510408966
511.162048,2.318698,0,0.511162048
511.91507,2.318086,0,0.51191507
512.66803,2.317478,0,0.51266803
513.420959,2.316874,0,0.513420959
514.173828,2.316274,0,0.514173828
514.926636,2.315677,0,0.514926636
515.679382,2.315084,0,0.515679382
516.432129,2.314495,0,0.516432129
517.184753,2.31391,0,0.517184753
517.937378,2.313328,0,0.517937378
518.68988,2.31275,0,0.51868988
519.442383,2.312176,0,0.519442383
520.194824,2.311604,0,0.520194824
520.947205,2.311037,0,0.520947205
521.699524,2.310473,0,0.521699524
522.451843,2.309913,0,0.522451843
523.204041,2.309356,0,0.523204041
523.956238,2.308802,0,0.523956238
524.708374,2.308252,0,0.524708374
525.460388,2.307705,0,0.525460388
526.212402,2.307162,0,0.526212402
526.964355,2.306622,0,0.526964355
527.716309,2.306084,0,0.527716309
528.46814,2.305551,0,0.52846814
529.219971,2.30502,0,0.529219971
529.97168,2.304493,0,0.52997168
530.723389,2.303969,0,0.530723389
531.475037,2.303447,0,0.531475037
532.226624,2.30293,0,0.532226624
532.978149,2.302415,0,0.532978149
533.729675,2.301903,0,0.533729675
534.481079,2.301394,0,0.534481079
535.232483,2.300888,0,0.535232483
