nm,n,k,wl
432.453064,2.536302,2.722423,0.432453064
434.04425,2.546808,2.726542,0.43404425
435.635345,2.557352,2.730546,0.435635345
437.226501,2.567929,2.734431,0.437226501
438.817688,2.578532,2.738195,0.438817688
440.408844,2.589154,2.741836,0.440408844
442.000061,2.59979,2.74535,0.442000061
443.591217,2.610431,2.748738,0.443591217
445.182373,2.621071,2.751998,0.445182373
446.773529,2.631703,2.755131,0.446773529
448.364685,2.642318,2.75814,0.448364685
449.955902,2.652912,2.761029,0.449955902
451.547058,2.663481,2.763801,0.451547058
453.138245,2.674021,2.766461,0.453138245
454.729431,2.684531,2.769011,0.454729431
456.320618,2.695009,2.771454,0.456320618
457.911774,2.705452,2.773792,0.457911774
459.502991,2.71586,2.776028,0.459502991
461.094147,2.726231,2.778163,0.461094147
462.685303,2.736563,2.7802,0.462685303
464.276459,2.746855,2.782141,0.464276459
465.867676,2.757107,2.783987,0.465867676
467.458832,2.767317,2.785741,0.467458832
469.049988,2.777484,2.787403,0.469049988
470.641174,2.787609,2.788975,0.470641174
472.23233,2.797689,2.790459,0.47223233
473.823486,2.807726,2.791857,0.473823486
475.414642,2.817717,2.793169,0.475414642
477.005768,2.827664,2.794396,0.477005768
478.596924,2.837565,2.79554,0.478596924
480.18808,2.847422,2.796602,0.48018808
481.779205,2.857234,2.797582,0.481779205
483.3703,2.867002,2.79848,0.4833703
484.961487,2.876726,2.799294,0.484961487
486.552582,2.886406,2.800024,0.486552582
488.143707,2.896039,2.800668,0.488143707
489.734802,2.905623,2.801225,0.489734802
491.325867,2.915157,2.801696,0.491325867
492.916992,2.924638,2.80208,0.492916992
494.508057,2.934063,2.802378,0.494508057
496.099182,2.943432,2.80259,0.496099182
497.690247,2.952741,2.802716,0.497690247
499.281311,2.961989,2.802757,0.499281311
500.872314,2.971172,2.802713,0.500872314
502.463379,2.980289,2.802587,0.502463379
504.054382,2.989337,2.802377,0.504054382
505.645416,2.998314,2.802086,0.505645416
507.23642,3.007218,2.801715,0.50723642
508.827454,3.016047,2.801264,0.508827454
510.418457,3.024798,2.800736,0.510418457
512.009399,3.033469,2.800131,0.512009399
513.600403,3.042058,2.799451,0.513600403
515.191345,3.050561,2.798698,0.515191345
516.782288,3.058977,2.797874,0.516782288
518.37323,3.067303,2.79698,0.51837323
519.964172,3.075537,2.796018,0.519964172
521.555054,3.083675,2.794991,0.521555054
523.145935,3.091714,2.793901,0.523145935
524.736877,3.099651,2.792751,0.524736877
526.327759,3.107481,2.791547,0.526327759
527.918579,3.115205,2.790295,0.527918579
529.509399,3.122822,2.789,0.529509399
531.10022,3.130332,2.787666,0.53110022
532.69104,3.137735,2.786297,0.53269104
534.28186,3.145032,2.784898,0.53428186
535.872681,3.152226,2.783471,0.535872681
537.463379,3.159314,2.782021,0.537463379
539.054138,3.166301,2.780549,0.539054138
540.644897,3.173185,2.779059,0.540644897
542.235596,3.179969,2.777554,0.542235596
543.826294,3.186653,2.776036,0.543826294
545.416992,3.193238,2.774508,0.545416992
547.00769,3.199727,2.772972,0.54700769
548.598267,3.206119,2.77143,0.548598267
550.188904,3.212416,2.769885,0.550188904
551.779541,3.218619,2.768338,0.551779541
553.370117,3.22473,2.766791,0.553370117
554.960693,3.23075,2.765247,0.554960693
556.55127,3.236679,2.763706,0.55655127
558.141785,3.242518,2.762171,0.558141785
559.7323,3.24827,2.760643,0.5597323
561.322815,3.253934,2.759125,0.561322815
562.913269,3.259512,2.757617,0.562913269
564.503723,3.265004,2.75612,0.564503723
566.094116,3.270412,2.754637,0.566094116
567.68457,3.275737,2.75317,0.56768457
569.274963,3.280978,2.751719,0.569274963
570.865295,3.286136,2.750286,0.570865295
572.455688,3.291213,2.748873,0.572455688
574.045959,3.296207,2.747482,0.574045959
575.636292,3.30112,2.746116,0.575636292
577.226501,3.305951,2.744778,0.577226501
578.816772,3.310704,2.743472,0.578816772
580.406982,3.315379,2.7422,0.580406982
581.997192,3.31998,2.740965,0.581997192
583.587341,3.324508,2.739768,0.583587341
585.177551,3.328968,2.738612,0.585177551
586.767639,3.333359,2.737499,0.586767639
588.357788,3.337687,2.736429,0.588357788
589.947815,3.341952,2.735405,0.589947815
591.537842,3.346158,2.734428,0.591537842
593.127869,3.350307,2.733499,0.593127869
594.717896,3.354401,2.732618,0.594717896
596.307861,3.358445,2.731788,0.596307861
597.897766,3.362439,2.731009,0.597897766
599.487671,3.366388,2.730282,0.599487671
601.077576,3.370293,2.729606,0.601077576
602.667419,3.374157,2.728984,0.602667419
604.257202,3.377983,2.728415,0.604257202
605.847046,3.381773,2.727899,0.605847046
607.436829,3.385531,2.727437,0.607436829
