nm,n,k,wl
437.226501,1.609138,0,0.437226501
438.817688,1.608932,0,0.438817688
440.408844,1.60873,0,0.440408844
442.000061,1.608529,0,0.442000061
443.591217,1.60833,0,0.443591217
445.182373,1.608134,0,0.445182373
446.773529,1.60794,0,0.446773529
448.364685,1.607747,0,0.448364685
449.955902,1.607557,0,0.449955902
451.547058,1.607369,0,0.451547058
453.138245,1.607182,0,0.453138245
454.729431,1.606998,0,0.454729431
456.320618,1.606815,0,0.456320618
457.911774,1.606634,0,0.457911774
459.502991,1.606455,0,0.459502991
461.094147,1.606277,0,0.461094147
462.685303,1.606102,0,0.462685303
464.276459,1.605927,0,0.464276459
465.867676,1.605755,0,0.465867676
467.458832,1.605584,0,0.467458832
469.049988,1.605414,0,0.469049988
470.641174,1.605246,0,0.470641174
472.23233,1.60508,0,0.47223233
473.823486,1.604915,0,0.473823486
475.414642,1.604751,0,0.475414642
477.005768,1.604589,0,0.477005768
478.596924,1.604429,0,0.478596924
480.18808,1.604269,0,0.48018808
481.779205,1.604111,0,0.481779205
483.3703,1.603954,0,0.4833703
484.961487,1.603799,0,0.484961487
486.552582,1.603644,0,0.486552582
488.143707,1.603492,0,0.488143707
489.734802,1.60334,0,0.489734802
491.325867,1.603189,0,0.491325867
492.916992,1.60304,0,0.492916992
494.508057,1.602891,0,0.494508057
496.099182,1.602744,0,0.496099182
497.690247,1.602598,0,0.497690247
499.281311,1.602453,0,0.499281311
500.872314,1.602309,0,0.500872314
502.463379,1.602166,0,0.502463379
504.054382,1.602024,0,0.504054382
505.645416,1.601883,0,0.505645416
507.23642,1.601743,0,0.50723642
508.827454,1.601604,0,0.508827454
510.418457,1.601467,0,0.510418457
512.009399,1.60133,0,0.512009399
513.600403,1.601193,0,0.513600403
515.191345,1.601058,0,0.515191345
516.782288,1.600924,0,0.516782288
518.37323,1.600791,0,0.51837323
519.964172,1.600658,0,0.519964172
521.555054,1.600526,0,0.521555054
523.145935,1.600395,0,0.523145935
524.736877,1.600265,0,0.524736877
526.327759,1.600136,0,0.526327759
527.918579,1.600008,0,0.527918579
529.509399,1.59988,0,0.529509399
531.10022,1.599753,0,0.53110022
532.69104,1.599627,0,0.53269104
534.28186,1.599502,0,0.53428186
535.872681,1.599377,0,0.535872681
537.463379,1.599253,0,0.537463379
539.054138,1.59913,0,0.539054138
540.644897,1.599007,0,0.540644897
542.235596,1.598885,0,0.542235596
543.826294,1.598764,0,0.543826294
545.416992,1.598644,0,0.545416992
547.00769,1.598524,0,0.54700769
548.598267,1.598404,0,0.548598267
550.188904,1.598286,0,0.550188904
551.779541,1.598168,0,0.551779541
553.370117,1.59805,0,0.553370117
554.960693,1.597934,0,0.554960693
556.55127,1.597817,0,0.55655127
558.141785,1.597702,0,0.558141785
559.7323,1.597587,0,0.5597323
561.322815,1.597472,0,0.561322815
562.913269,1.597358,0,0.562913269
564.503723,1.597245,0,0.564503723
566.094116,1.597132,0,0.566094116
567.68457,1.597019,0,0.56768457
569.274963,1.596907,0,0.569274963
570.865295,1.596796,0,0.570865295
572.455688,1.596685,0,0.572455688
574.045959,1.596575,0,0.574045959
575.636292,1.596465,0,0.575636292
577.226501,1.596356,0,0.577226501
578.816772,1.596247,0,0.578816772
580.406982,1.596138,0,0.580406982
