nm,n,k,wl
362.494598,0.575727,2.524002,0.362494598
363.258698,0.57555,2.53005,0.363258698
364.022705,0.575377,2.536108,0.364022705
364.786652,0.575209,2.542176,0.364786652
365.550568,0.575046,2.548254,0.365550568
366.314423,0.574888,2.554341,0.366314423
367.078186,0.574735,2.560437,0.367078186
367.841919,0.574588,2.566544,0.367841919
368.605591,0.574447,2.572659,0.368605591
369.369202,0.574311,2.578784,0.369369202
370.132782,0.574181,2.584917,0.370132782
370.896271,0.574058,2.59106,0.370896271
371.659698,0.573941,2.597211,0.371659698
372.423096,0.57383,2.603372,0.372423096
373.186401,0.573725,2.609541,0.373186401
373.949677,0.573628,2.615718,0.373949677
374.712891,0.573537,2.621904,0.374712891
375.476044,0.573453,2.628099,0.375476044
376.239136,0.573376,2.634301,0.376239136
377.002167,0.573307,2.640512,0.377002167
377.765137,0.573245,2.646731,0.377765137
378.528076,0.57319,2.652957,0.378528076
379.290924,0.573143,2.659191,0.379290924
380.053741,0.573104,2.665433,0.380053741
380.816467,0.573072,2.671683,0.380816467
381.579163,0.573049,2.677939,0.381579163
382.341797,0.573033,2.684203,0.382341797
383.10437,0.573026,2.690475,0.38310437
383.866882,0.573027,2.696753,0.383866882
384.629333,0.573036,2.703038,0.384629333
385.391724,0.573054,2.70933,0.385391724
386.154083,0.57308,2.715628,0.386154083
386.916351,0.573116,2.721933,0.386916351
387.678589,0.573159,2.728245,0.387678589
388.440765,0.573212,2.734563,0.388440765
389.20285,0.573274,2.740886,0.38920285
389.964905,0.573344,2.747216,0.389964905
390.726898,0.573424,2.753552,0.390726898
391.488861,0.573513,2.759894,0.391488861
392.250732,0.573612,2.766241,0.392250732
393.012543,0.573719,2.772593,0.393012543
393.774323,0.573836,2.778952,0.393774323
394.536011,0.573963,2.785315,0.394536011
395.297668,0.574099,2.791684,0.395297668
396.059265,0.574244,2.798057,0.396059265
396.820801,0.5744,2.804436,0.396820801
397.582275,0.574565,2.810819,0.397582275
